Date,Source,Campaign,Spend,Clicks,Impressions,AdGroup,Ad
2024-03-18,Telegram posts,,110.0,396,14944,,
2023-07-11,Facebook Ads,10.07.23wide_com_DE,0.28,0,25,wide,b4com
2024-03-06,Telegram posts,,109.0,33,10601,,
2023-07-11,Facebook Ads,07.07.23LAL_DE,0.86,2,101,LAL1,b2
2023-07-11,Facebook Ads,04.07.23recentlymoved_DE,0.29,1,20,recentlymoved,b3
2023-07-11,Facebook Ads,05.07.23interests_DE,0.14,0,7,interest_programming,b4
2024-05-06,Telegram posts,,107.1,181,3846,,
2023-07-11,Facebook Ads,03.07.23women,0.0,0,1,women,b2
2023-11-15,Telegram posts,,104.25,148,15497,,
2023-07-11,Facebook Ads,05.07.23interests_DE,0.19,0,24,interest_programming,b2
2024-02-06,Telegram posts,,103.2,85,2911,,
2023-07-11,Facebook Ads,05.07.23interests_DE,0.12,1,13,interest_programming,b1
2023-07-11,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-07-11,Facebook Ads,04.07.23recentlymoved_DE,9.89,20,863,recentlymoved,b2
2024-04-22,Telegram posts,,101.6,407,15781,,
2023-07-11,Facebook Ads,05.07.23interests_DE,8.64,13,755,interest_programming,b3
2023-07-11,Google Ads,gen_analyst_DE,39.98,32,325,,
2023-07-11,Google Ads,performancemax_eng_DE,24.44,272,9316,,
2023-07-11,Facebook Ads,10.07.23wide_com_DE,2.38,0,130,wide,b3com
2023-07-11,Facebook Ads,02.07.23wide_DE,1.46,4,107,wide,b2
2023-07-11,Facebook Ads,02.07.23wide_DE,11.05,18,865,wide,b3
2023-07-11,Facebook Ads,10.07.23wide_com_DE,1.43,4,114,wide,b2com
2024-05-22,Telegram posts,,101.3,83,4866,,
2023-08-08,SMM,,100.0,30,0,,
2023-07-11,Facebook Ads,10.07.23wide_com_DE,0.02,0,5,wide,b1com
2023-07-11,Facebook Ads,07.07.23LAL_DE,8.66,12,653,LAL1,b3
2023-09-04,Bloggers,,100.0,241,1293,,
2023-07-11,Facebook Ads,03.07.23women,9.94,21,725,women,b3
2023-07-12,Facebook Ads,05.07.23interests_DE,8.87,17,1119,interest_programming,b3
2023-07-12,Facebook Ads,05.07.23interests_DE,0.02,0,3,interest_programming,b1
2023-07-12,Google Ads,performancemax_eng_DE,26.84,434,14131,,
2023-07-12,Google Ads,gen_analyst_DE,12.7,5,71,,
2024-05-22,SMM,,100.0,36,0,,
2023-07-12,Facebook Ads,10.07.23wide_com_DE,0.1,0,6,wide,b1com
2024-05-29,SMM,,100.0,47,0,,
